"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1512.60893619218
"FDW14","OUT017",1496.69167538196
"NCN55","OUT010",925.559970612883
"FDQ58","OUT017",2394.25246326062
"FDY38","OUT027",5975.31615499869
"FDH56","OUT046",2085.2863938868
"FDL48","OUT018",648.542594069172
"FDC48","OUT027",2515.98112976666
"FDN33","OUT045",1548.36971673462
"FDA36","OUT017",2876.02625436432
"FDT44","OUT017",1921.41141611822
"FDQ56","OUT045",1416.09896392409
"NCC54","OUT019",687.595540702276
"FDU11","OUT049",2024.49779350434
"DRL59","OUT013",742.788864009846
"FDM24","OUT049",2388.05160524525
"FDI57","OUT045",2553.4699942781
"DRC12","OUT018",2580.84634109335
"NCM42","OUT027",2837.22906790517
"FDA46","OUT010",543.108696332141
"FDA31","OUT013",2822.17341244605
"NCJ31","OUT035",3935.69333175848
"FDG52","OUT046",760.109931046054
"NCL19","OUT019",390.892129203537
"FDS10","OUT035",3202.09412619338
"FDX22","OUT010",910.85743452129
"NCF19","OUT035",774.771756030523
"NCE06","OUT046",2438.10185450374
"DRC27","OUT046",3582.55656901361
"FDE21","OUT035",1901.22365642301
"NCR42","OUT019",128.983188632483
"FDX51","OUT018",2744.17842323232
"NCR06","OUT018",648.51744258893
"FDU31","OUT027",5794.49427930086
"FDU59","OUT017",2316.28172260297
"FDR03","OUT027",5938.44275113068
"FDS49","OUT027",2586.7748978932
"FDD48","OUT010",310.672986336218
"NCF18","OUT017",2860.69672741817
"NCD43","OUT027",2759.04145680122
"NCD54","OUT018",1900.51130511998
"FDY19","OUT010",349.153968858246
"NCY54","OUT017",2616.97387349373
"NCL19","OUT018",2182.90613596934
"FDP23","OUT010",840.689050210324
"FDC26","OUT013",1864.36315191908
"FDR14","OUT010",230.422488202308
"NCS41","OUT035",3203.61369525437
"FDF41","OUT035",3918.42590065729
"FDU34","OUT046",2173.40433008384
"DRH11","OUT046",1055.33823962185
"FDM03","OUT013",1705.64412113102
"FDS31","OUT017",3118.44031690026
"FDJ20","OUT017",2218.35055837685
"FDV44","OUT027",5024.15442798546
"FDG02","OUT049",3007.52722846452
"FDA09","OUT013",3266.89341595437
"FDT04","OUT013",638.243680038279
"FDL58","OUT019",633.747308095968
"FDE52","OUT045",1449.49809773812
"FDW12","OUT035",2633.38999180852
